"key";"form";"instruction";"en";"nl";"af";"sq";"am";"ar";"hy";"as";"az";"eu";"be";"bn";"bs";"bg";"my";"ca";"zh";"hr";"cs";"da";"et";"fo";"fi";"fr";"gl";"ka";"de";"el";"gu";"he";"hi";"hu";"is";"id";"ga";"it";"ja";"kn";"kk";"km";"ko";"lo";"lv";"lt";"mk";"ms";"ml";"mr";"mn";"ne";"nb";"or";"fa";"pl";"pt";"pa";"ro";"ru";"sr";"si";"sk";"sl";"es";"sw";"sv";"ta";"te";"th";"bo";"tr";"uk";"ur";"ug";"uz";"vi";"cy";"zu"
"character.bear";"";"An animal's name. Appears on its own under the artwork and inside sentences such as ""3 more hoops to unlock …"". Aim for 14 characters or fewer.";"Bear";"Beer";"Beer";"Ari";"ድብ";"دب";"Արջ";"ভালুক";"Ayı";"Hartza";"Мядзведзь";"ভালুক";"Medvjed";"Мечка";"ဝက်ဝံ";"Ós";"熊";"Medvjed";"Medvěd";"Bjørn";"Karu";"Bjørn";"Karhu";"Ours";"Oso";"დათვი";"Bär";"Αρκούδα";"રીંછ";"דוב";"भालू";"Medve";"Björn";"Beruang";"Béar";"Orso";"クマ";"ಕರಡಿ";"Аю";"ខ្លាឃ្មុំ";"곰";"ໝີ";"Lācis";"Lokys";"Мечка";"Beruang";"കരടി";"अस्वल";"Баавгай";"भालु";"Bjørn";"ଭାଲୁ";"خرس";"Niedźwiedź";"Urso";"ਭਾਲੂ";"Urs";"Медведь";"Medved";"වලහා";"Medveď";"Medved";"Oso";"Dubu";"Björn";"கரடி";"ఎలుగుబంటి";"หมี";"དོམ";"Ayı";"Ведмідь";"ریچھ";"ئېيىق";"Ayiq";"Gấu";"Arth";"Ibhere"
"character.bunny";"";"An animal's name. Appears on its own under the artwork and inside sentences such as ""3 more hoops to unlock …"". Aim for 14 characters or fewer.";"Bunny";"Konijn";"Hasie";"Lepur";"ጥንቸል";"أرنب";"Նապաստակ";"খৰগোশ";"Dovşan";"Untxia";"Зайчык";"খরগোশ";"Zeko";"Зайче";"ယုန်ကလေး";"Conill";"兔子";"Zeko";"Králík";"Kanin";"Jänku";"Kanina";"Pupu";"Lapin";"Coello";"კურდღელი";"Hase";"Λαγός";"સસલું";"ארנב";"खरगोश";"Nyuszi";"Kanína";"Kelinci";"Coinín";"Coniglio";"ウサギ";"ಮೊಲ";"Қоян";"ទន្សាយ";"토끼";"ກະຕ່າຍ";"Zaķis";"Zuikutis";"Зајак";"Arnab";"മുയൽ";"ससा";"Туулай";"खरायो";"Kanin";"ଖରଗୋଶ";"خرگوش";"Królik";"Coelho";"ਖਰਗੋਸ਼";"Iepuraș";"Зайка";"Zeka";"හාවා";"Zajačik";"Zajček";"Conejo";"Sungura";"Kanin";"முயல்";"కుందేలు";"กระต่าย";"རི་བོང";"Tavşan";"Зайчик";"خرگوش";"توشقان";"Quyon";"Thỏ";"Cwningen";"Unogwaja"
"character.crab";"";"An animal's name. Appears on its own under the artwork and inside sentences such as ""3 more hoops to unlock …"". Aim for 14 characters or fewer.";"Crab";"Krab";"Krap";"Gaforre";"ሸርጣን";"سلطعون";"Խեցգետին";"কেঁকোৰা";"Krab";"Karramarroa";"Краб";"কাঁকড়া";"Rak";"Рак";"ကဏန်း";"Cranc";"螃蟹";"Rak";"Krab";"Krabbe";"Krabi";"Krabbi";"Rapu";"Crabe";"Cangrexo";"კიბორჩხალა";"Krabbe";"Καβούρι";"કરચલો";"סרטן";"केकड़ा";"Rák";"Krabbi";"Kepiting";"Portán";"Granchio";"カニ";"ಏಡಿ";"Теңізшаян";"ក្តាម";"게";"ປູ";"Krabis";"Krabas";"Рак";"Ketam";"ഞണ്ട്";"खेकडा";"Хавч";"केकडा";"Krabbe";"କଙ୍କଡ଼ା";"خرچنگ";"Krab";"Caranguejo";"ਕੇਕੜਾ";"Crab";"Краб";"Rak";"කකුළුවා";"Krab";"Rak";"Cangrejo";"Kaa";"Krabba";"நண்டு";"పీత";"ปู";"སྡིག་སྲིན";"Yengeç";"Краб";"کیکڑا";"قىسقۇچپاقا";"Qisqichbaqa";"Cua";"Cranc";"Inkalankala"
"character.dog";"";"An animal's name. Appears on its own under the artwork and inside sentences such as ""3 more hoops to unlock …"". Aim for 14 characters or fewer.";"Dog";"Hond";"Hond";"Qen";"ውሻ";"كلب";"Շուն";"কুকুৰ";"İt";"Txakurra";"Сабака";"কুকুর";"Pas";"Куче";"ခွေး";"Gos";"狗";"Pas";"Pes";"Hund";"Koer";"Hundur";"Koira";"Chien";"Can";"ძაღლი";"Hund";"Σκύλος";"કૂતરો";"כלב";"कुत्ता";"Kutya";"Hundur";"Anjing";"Madra";"Cane";"イヌ";"ನಾಯಿ";"Ит";"ឆ្កែ";"개";"ໝາ";"Suns";"Šuo";"Куче";"Anjing";"നായ";"कुत्रा";"Нохой";"कुकुर";"Hund";"କୁକୁର";"سگ";"Pies";"Cão";"ਕੁੱਤਾ";"Câine";"Пёс";"Pas";"බල්ලා";"Pes";"Pes";"Perro";"Mbwa";"Hund";"நாய்";"కుక్క";"หมา";"ཁྱི";"Köpek";"Пес";"کتا";"ئىت";"It";"Chó";"Ci";"Inja"
"character.elephant";"";"An animal's name. Appears on its own under the artwork and inside sentences such as ""3 more hoops to unlock …"". Aim for 14 characters or fewer.";"Elephant";"Olifant";"Olifant";"Elefant";"ዝሆን";"فيل";"Փիղ";"হাতী";"Fil";"Elefantea";"Слон";"হাতি";"Slon";"Слон";"ဆင်";"Elefant";"大象";"Slon";"Slon";"Elefant";"Elevant";"Fílur";"Norsu";"Éléphant";"Elefante";"სპილო";"Elefant";"Ελέφαντας";"હાથી";"פיל";"हाथी";"Elefánt";"Fíll";"Gajah";"Eilifint";"Elefante";"ゾウ";"ಆನೆ";"Піл";"ដំរី";"코끼리";"ຊ້າງ";"Zilonis";"Dramblys";"Слон";"Gajah";"ആന";"हत्ती";"Заан";"हात्ती";"Elefant";"ହାତୀ";"فیل";"Słoń";"Elefante";"ਹਾਥੀ";"Elefant";"Слон";"Slon";"අලියා";"Slon";"Slon";"Elefante";"Tembo";"Elefant";"யானை";"ఏనుగు";"ช้าง";"གླང་ཆེན";"Fil";"Слон";"ہاتھی";"پىل";"Fil";"Voi";"Eliffant";"Indlovu"
"character.fox";"";"An animal's name. Appears on its own under the artwork and inside sentences such as ""3 more hoops to unlock …"". Aim for 14 characters or fewer.";"Fox";"Vos";"Jakkals";"Dhelpër";"ቀበሮ";"ثعلب";"Աղվես";"শিয়াল";"Tülkü";"Azeria";"Ліса";"শিয়াল";"Lisica";"Лисица";"မြေခွေး";"Guineu";"狐狸";"Lisica";"Liška";"Ræv";"Rebane";"Revur";"Kettu";"Renard";"Raposo";"მელა";"Fuchs";"Αλεπού";"શિયાળ";"שועל";"लोमड़ी";"Róka";"Refur";"Rubah";"Sionnach";"Volpe";"キツネ";"ನರಿ";"Түлкі";"កញ្ជ្រោង";"여우";"ໝາຈອກ";"Lapsa";"Lapė";"Лисица";"Rubah";"കുറുക്കൻ";"कोल्हा";"Үнэг";"स्याल";"Rev";"ଖଞ୍ଜନା";"روباه";"Lis";"Raposa";"ਲੂੰਬੜੀ";"Vulpe";"Лис";"Lisica";"නරියා";"Líška";"Lisica";"Zorro";"Mbweha";"Räv";"நரி";"నక్క";"จิ้งจอก";"ཝ";"Tilki";"Лис";"لومڑی";"تۈلكە";"Tulki";"Cáo";"Llwynog";"Impungushe"
"character.frog";"";"An animal's name. Appears on its own under the artwork and inside sentences such as ""3 more hoops to unlock …"". Aim for 14 characters or fewer.";"Frog";"Kikker";"Padda";"Bretkosë";"እንቁራሪት";"ضفدع";"Գորտ";"ভেকুলী";"Qurbağa";"Igela";"Жаба";"ব্যাঙ";"Žaba";"Жаба";"ဖား";"Granota";"青蛙";"Žaba";"Žába";"Frø";"Konn";"Froskur";"Sammakko";"Grenouille";"Ra";"ბაყაყი";"Frosch";"Βάτραχος";"દેડકો";"צפרדע";"मेंढक";"Béka";"Froskur";"Katak";"Frog";"Rana";"カエル";"ಕಪ್ಪೆ";"Бақа";"កង្កែប";"개구리";"ກົບ";"Varde";"Varlė";"Жаба";"Katak";"തവള";"बेडूक";"Мэлхий";"भ्यागुतो";"Frosk";"ବେଙ୍ଗ";"قورباغه";"Żaba";"Sapo";"ਡੱਡੂ";"Broască";"Лягушка";"Žaba";"ගෙම්බා";"Žaba";"Žaba";"Rana";"Chura";"Groda";"தவளை";"కప్ప";"กบ";"སྦལ་པ";"Kurbağa";"Жаба";"مینڈک";"پاقا";"Qurbaqa";"Ếch";"Broga";"Ixoxo"
"character.lion";"";"An animal's name. Appears on its own under the artwork and inside sentences such as ""3 more hoops to unlock …"". Aim for 14 characters or fewer.";"Lion";"Leeuw";"Leeu";"Luan";"አንበሳ";"أسد";"Առյուծ";"সিংহ";"Şir";"Lehoia";"Леў";"সিংহ";"Lav";"Лъв";"ခြင်္သေ့";"Lleó";"狮子";"Lav";"Lev";"Løve";"Lõvi";"Leyva";"Leijona";"Lion";"León";"ლომი";"Löwe";"Λιοντάρι";"સિંહ";"אריה";"शेर";"Oroszlán";"Ljón";"Singa";"Leon";"Leone";"ライオン";"ಸಿಂಹ";"Арыстан";"តោ";"사자";"ສິງ";"Lauva";"Liūtas";"Лав";"Singa";"സിംഹം";"सिंह";"Арслан";"सिंह";"Løve";"ସିଂହ";"شیر";"Lew";"Leão";"ਸ਼ੇਰ";"Leu";"Лев";"Lav";"සිංහයා";"Lev";"Lev";"León";"Simba";"Lejon";"சிங்கம்";"సింహం";"สิงโต";"སེང་གེ";"Aslan";"Лев";"شیر";"شىر";"Arslon";"Sư tử";"Llew";"Ibhubesi"
"character.octopus";"";"An animal's name. Appears on its own under the artwork and inside sentences such as ""3 more hoops to unlock …"". Aim for 14 characters or fewer.";"Octopus";"Inktvis";"Seekat";"Oktapod";"ኦክቶፐስ";"أخطبوط";"Ութոտնուկ";"অক্টোপাছ";"Ahtapot";"Olagarroa";"Васьміног";"অক্টোপাস";"Hobotnica";"Октопод";"ရေဘဝဲ";"Pop";"章鱼";"Hobotnica";"Chobotnice";"Blæksprutte";"Kaheksajalg";"Høgguslokkur";"Mustekala";"Poulpe";"Polbo";"რვაფეხა";"Oktopus";"Χταπόδι";"ઓક્ટોપસ";"תמנון";"ऑक्टोपस";"Polip";"Kolkrabbi";"Gurita";"Ochtapas";"Polpo";"タコ";"ಆಕ್ಟೋಪಸ್";"Сегізаяқ";"មឹក";"문어";"ປາໝຶກ";"Astoņkājis";"Aštuonkojis";"Октопод";"Kurita";"നീരാളി";"ऑक्टोपस";"Наймаалж";"अक्टोपस";"Blekksprut";"ଅକ୍ଟୋପସ୍";"هشت‌پا";"Ośmiornica";"Polvo";"ਆਕਟੋਪਸ";"Caracatiță";"Осьминог";"Hobotnica";"බූවල්ලා";"Chobotnica";"Hobotnica";"Pulpo";"Pweza";"Bläckfisk";"ஆக்டோபஸ்";"ఆక్టోపస్";"หมึกยักษ์";"ཉ་ལག་བརྒྱད";"Ahtapot";"Восьминіг";"آکٹوپس";"سەككىزئاياغ";"Ahtapot";"Bạch tuộc";"Octopws";"Ingwane"
"character.penguin";"";"An animal's name. Appears on its own under the artwork and inside sentences such as ""3 more hoops to unlock …"". Aim for 14 characters or fewer.";"Penguin";"Pinguïn";"Pikkewyn";"Pinguin";"ፔንግዊን";"بطريق";"Պինգվին";"পেংগুইন";"Pinqvin";"Pinguinoa";"Пінгвін";"পেঙ্গুইন";"Pingvin";"Пингвин";"ပင်ဂွင်း";"Pingüí";"企鹅";"Pingvin";"Tučňák";"Pingvin";"Pingviin";"Pingvinur";"Pingviini";"Pingouin";"Pingüín";"პინგვინი";"Pinguin";"Πιγκουίνος";"પેંગ્વિન";"פינגווין";"पेंगुइन";"Pingvin";"Mörgæs";"Pinguin";"Piongain";"Pinguino";"ペンギン";"ಪೆಂಗ್ವಿನ್";"Пингвин";"ភេនឃ្វីន";"펭귄";"ເພນກວິນ";"Pingvīns";"Pingvinas";"Пингвин";"Penguin";"പെൻഗ്വിൻ";"पेंग्विन";"Оцон шувуу";"पेन्गुइन";"Pingvin";"ପେଙ୍ଗୁଇନ୍";"پنگوئن";"Pingwin";"Pinguim";"ਪੇਂਗੁਇਨ";"Pinguin";"Пингвин";"Pingvin";"පෙන්ගුවියා";"Tučniak";"Pingvin";"Pingüino";"Pengwini";"Pingvin";"பென்குயின்";"పెంగ్విన్";"เพนกวิน";"པེང་གུན";"Penguen";"Пінгвін";"پینگوئن";"پىنگۋىن";"Pingvin";"Chim cánh cụt";"Pengwin";"Iphengwini"
